Fecha,Temperatura,Humedad,Lluvia,Rendimiento,Plagas,Riesgo,Alerta,Rendimiento_lag1,Rendimiento_lag2
2010-03-01,28.6,53.8,33.0,128.7,0,1,Sin alertas,151.2,150.1
2010-04-01,30.7,36.6,14.1,105.4,0,2,Alerta: Humedad baja,128.7,151.2
2010-05-01,27.0,52.2,26.4,118.2,0,1,Sin alertas,105.4,128.7
2010-06-01,40.9,33.9,61.4,113.3,0,2,Alerta: Humedad baja,118.2,105.4
2010-07-01,36.9,35.6,37.0,118.7,0,2,Alerta: Humedad baja,113.3,118.2
2010-08-01,36.8,33.5,48.0,136.2,0,2,Alerta: Humedad baja,118.7,113.3
2010-09-01,30.0,42.6,52.3,126.9,0,1,Sin alertas,136.2,118.7
2010-10-01,30.6,36.3,20.1,115.1,0,2,Alerta: Humedad baja,126.9,136.2
2010-11-01,32.2,51.2,38.3,127.5,0,1,Sin alertas,115.1,126.9
2010-12-01,19.0,56.4,15.4,143.1,0,0,"Alerta: Temperatura baja, riesgo de heladas",127.5,115.1
2011-01-01,22.7,51.2,23.2,129.2,0,0,Sin alertas,143.1,127.5
2011-02-01,20.6,63.1,30.3,152.5,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",129.2,143.1
2011-03-01,27.5,47.8,45.0,145.7,0,1,Sin alertas,152.5,129.2
2011-04-01,28.6,48.7,23.4,114.5,0,1,Sin alertas,145.7,152.5
2011-05-01,32.4,59.5,38.9,142.2,0,1,Sin alertas,114.5,145.7
2011-06-01,38.7,31.8,67.2,142.1,0,2,Alerta: Humedad baja,142.2,114.5
2011-07-01,37.9,42.8,7.6,107.1,0,1,Sin alertas,142.1,142.2
2011-08-01,38.2,33.5,61.8,112.1,0,2,Alerta: Humedad baja,107.1,142.1
2011-09-01,29.3,52.5,62.2,144.3,0,1,Sin alertas,112.1,107.1
2011-10-01,27.6,46.5,53.7,145.0,0,1,Sin alertas,144.3,112.1
2011-11-01,28.4,53.6,41.5,145.4,0,1,Sin alertas,145.0,144.3
2011-12-01,20.6,58.4,16.1,122.4,0,0,Sin alertas,145.4,145.0
2012-01-01,22.6,61.3,20.1,133.7,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",122.4,145.4
2012-02-01,19.2,57.9,16.6,129.5,0,0,"Alerta: Temperatura baja, riesgo de heladas",133.7,122.4
2012-03-01,29.5,52.8,68.3,153.4,0,1,Sin alertas,129.5,133.7
2012-04-01,30.8,49.5,11.2,114.3,0,1,Sin alertas,153.4,129.5
2012-05-01,30.2,67.2,37.1,142.0,1,1,"Alerta: Demasiada humedad, riesgo de enfermedades",114.3,153.4
2012-06-01,37.9,29.2,82.9,144.9,0,2,Alerta: Humedad baja,142.0,114.3
2012-07-01,39.6,30.5,88.1,129.4,0,2,Alerta: Humedad baja,144.9,142.0
2012-08-01,39.2,46.0,40.2,115.5,0,1,Sin alertas,129.4,144.9
2012-09-01,30.3,46.5,16.7,117.5,0,1,Sin alertas,115.5,129.4
2012-10-01,26.8,53.3,26.2,142.6,0,1,Sin alertas,117.5,115.5
2012-11-01,27.7,47.7,52.2,132.1,0,1,Sin alertas,142.6,117.5
2012-12-01,22.5,66.5,3.9,130.1,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",132.1,142.6
2013-01-01,22.5,63.9,7.6,118.9,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",130.1,132.1
2013-02-01,23.0,61.5,22.5,139.4,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",118.9,130.1
2013-03-01,28.0,51.6,44.4,133.1,0,1,Sin alertas,139.4,118.9
2013-04-01,35.6,53.3,22.1,122.4,0,1,Sin alertas,133.1,139.4
2013-05-01,27.1,55.5,57.4,143.1,1,1,Sin alertas,122.4,133.1
2013-06-01,39.9,37.1,76.4,151.7,0,2,Alerta: Humedad baja,143.1,122.4
2013-07-01,37.5,31.2,42.2,109.4,0,2,Alerta: Humedad baja,151.7,143.1
2013-08-01,37.8,36.7,65.5,138.9,0,2,Alerta: Humedad baja,109.4,151.7
2013-09-01,30.0,60.2,36.0,157.5,0,1,"Alerta: Demasiada humedad, riesgo de enfermedades",138.9,109.4
2013-10-01,31.9,44.0,23.9,121.9,0,1,Sin alertas,157.5,138.9
2013-11-01,29.3,55.0,47.1,140.0,0,1,Sin alertas,121.9,157.5
2013-12-01,20.3,52.4,15.5,138.0,0,0,Sin alertas,140.0,121.9
2014-01-01,22.4,53.8,21.7,136.1,0,0,Sin alertas,138.0,140.0
2014-02-01,20.2,60.8,20.6,129.4,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",136.1,138.0
2014-03-01,31.1,53.9,56.2,151.8,0,1,Sin alertas,129.4,136.1
2014-04-01,25.9,43.4,47.7,143.4,0,1,Sin alertas,151.8,129.4
2014-05-01,31.5,77.0,48.6,158.9,1,1,"Alerta: Demasiada humedad, riesgo de enfermedades",143.4,151.8
2014-06-01,39.9,38.3,53.7,129.6,0,2,Alerta: Humedad baja,158.9,143.4
2014-07-01,36.5,33.8,50.3,123.9,0,2,Alerta: Humedad baja,129.6,158.9
2014-08-01,42.6,25.7,73.7,113.0,0,2,Alerta: Humedad baja,123.9,129.6
2014-09-01,28.6,57.6,41.0,130.5,0,1,Sin alertas,113.0,123.9
2014-10-01,27.9,54.8,29.0,133.1,0,1,Sin alertas,130.5,113.0
2014-11-01,30.1,45.4,72.2,155.0,0,1,Sin alertas,133.1,130.5
2014-12-01,17.9,60.9,13.4,143.8,0,0,"Alerta: Temperatura baja, riesgo de heladas",155.0,133.1
2015-01-01,20.4,59.4,25.0,147.1,0,0,Sin alertas,143.8,155.0
2015-02-01,19.6,58.3,15.3,129.6,0,0,"Alerta: Temperatura baja, riesgo de heladas",147.1,143.8
2015-03-01,35.3,52.8,21.1,124.0,0,1,Sin alertas,129.6,147.1
2015-04-01,36.4,57.2,17.2,111.4,0,1,Sin alertas,124.0,129.6
2015-05-01,33.8,45.0,46.7,136.2,0,1,Sin alertas,111.4,124.0
2015-06-01,36.1,34.7,0.0,85.8,0,2,Alerta: Humedad baja,136.2,111.4
2015-07-01,37.5,28.8,92.6,133.5,0,2,Alerta: Humedad baja,85.8,136.2
2015-08-01,37.1,35.7,88.8,135.1,0,2,Alerta: Humedad baja,133.5,85.8
2015-09-01,33.5,50.1,25.3,123.7,0,1,Sin alertas,135.1,133.5
2015-10-01,30.6,45.8,41.0,127.7,0,1,Sin alertas,123.7,135.1
2015-11-01,30.3,54.6,63.8,139.3,0,1,Sin alertas,127.7,123.7
2015-12-01,26.3,50.2,18.5,129.3,0,1,Sin alertas,139.3,127.7
2016-01-01,22.6,56.9,17.9,128.1,0,0,Sin alertas,129.3,139.3
2016-02-01,20.8,64.2,23.6,135.8,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",128.1,129.3
2016-03-01,32.7,52.2,52.2,143.2,0,1,Sin alertas,135.8,128.1
2016-04-01,27.5,46.1,51.2,145.7,0,1,Sin alertas,143.2,135.8
2016-05-01,29.9,50.8,59.2,140.3,0,1,Sin alertas,145.7,143.2
2016-06-01,39.1,34.0,55.6,132.2,0,2,Alerta: Humedad baja,140.3,145.7
2016-07-01,39.7,39.1,86.1,143.7,0,2,Alerta: Humedad baja,132.2,140.3
2016-08-01,39.4,33.4,66.5,128.3,0,2,Alerta: Humedad baja,143.7,132.2
2016-09-01,30.3,54.2,27.7,144.1,0,1,Sin alertas,128.3,143.7
2016-10-01,27.0,41.5,57.4,149.1,0,1,Sin alertas,144.1,128.3
2016-11-01,31.9,54.4,39.8,125.6,0,1,Sin alertas,149.1,144.1
2016-12-01,22.2,56.6,29.8,138.4,0,0,Sin alertas,125.6,149.1
2017-01-01,20.3,58.4,24.1,134.8,0,0,Sin alertas,138.4,125.6
2017-02-01,20.4,61.2,22.4,135.5,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",134.8,138.4
2017-03-01,28.6,51.6,18.3,111.2,0,1,Sin alertas,135.5,134.8
2017-04-01,27.8,48.5,44.7,149.5,0,1,Sin alertas,111.2,135.5
2017-05-01,32.6,48.9,39.7,121.1,0,1,Sin alertas,149.5,111.2
2017-06-01,38.0,33.6,66.5,124.5,0,2,Alerta: Humedad baja,121.1,149.5
2017-07-01,39.0,42.7,57.8,132.4,0,1,Sin alertas,124.5,121.1
2017-08-01,39.4,33.0,64.5,128.0,0,2,Alerta: Humedad baja,132.4,124.5
2017-09-01,30.3,44.6,40.4,134.2,0,1,Sin alertas,128.0,132.4
2017-10-01,34.4,56.7,72.3,144.3,0,1,Sin alertas,134.2,128.0
2017-11-01,32.6,51.3,72.8,143.7,0,1,Sin alertas,144.3,134.2
2017-12-01,20.3,57.0,0.0,119.9,0,0,Sin alertas,143.7,144.3
2018-01-01,20.5,60.8,23.4,154.8,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",119.9,143.7
2018-02-01,23.9,57.1,11.0,130.4,0,0,Sin alertas,154.8,119.9
2018-03-01,26.0,62.8,57.7,151.1,0,1,"Alerta: Demasiada humedad, riesgo de enfermedades",130.4,154.8
2018-04-01,24.9,59.5,38.3,152.8,0,0,Sin alertas,151.1,130.4
2018-05-01,25.2,45.8,40.1,137.1,0,1,Sin alertas,152.8,151.1
2018-06-01,37.1,38.1,38.6,116.6,0,2,Alerta: Humedad baja,137.1,152.8
2018-07-01,38.2,37.6,74.2,128.5,0,2,Alerta: Humedad baja,116.6,137.1
2018-08-01,34.9,41.4,66.6,132.8,0,1,Sin alertas,128.5,116.6
2018-09-01,34.7,50.8,57.7,138.9,0,1,Sin alertas,132.8,128.5
2018-10-01,36.2,62.3,36.3,137.3,0,1,"Alerta: Demasiada humedad, riesgo de enfermedades",138.9,132.8
2018-11-01,31.9,59.6,25.5,132.3,0,1,Sin alertas,137.3,138.9
2018-12-01,24.1,51.2,8.2,105.3,0,0,Sin alertas,132.3,137.3
2019-01-01,21.5,63.6,35.0,147.6,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",105.3,132.3
2019-02-01,25.3,53.1,3.0,117.5,0,1,Sin alertas,147.6,105.3
2019-03-01,31.2,49.8,9.0,112.1,0,1,Sin alertas,117.5,147.6
2019-04-01,26.1,54.7,45.5,135.8,0,1,Sin alertas,112.1,117.5
2019-05-01,28.5,42.6,39.1,138.2,0,1,Sin alertas,135.8,112.1
2019-06-01,36.0,37.5,49.4,118.8,0,2,Alerta: Humedad baja,138.2,135.8
2019-07-01,37.8,29.8,48.9,109.3,0,2,Alerta: Humedad baja,118.8,138.2
2019-08-01,41.9,35.2,46.0,116.6,0,2,Alerta: Humedad baja,109.3,118.8
2019-09-01,29.7,48.5,49.2,144.2,0,1,Sin alertas,116.6,109.3
2019-10-01,28.4,46.0,35.9,112.0,0,1,Sin alertas,144.2,116.6
2019-11-01,25.5,59.6,64.7,156.0,0,1,Sin alertas,112.0,144.2
2019-12-01,23.2,61.6,50.8,162.4,1,0,"Alerta: Demasiada humedad, riesgo de enfermedades",156.0,112.0
2020-01-01,21.7,55.2,3.9,125.5,0,0,Sin alertas,162.4,156.0
2020-02-01,20.5,52.9,13.5,121.3,0,0,Sin alertas,125.5,162.4
2020-03-01,35.1,56.2,39.9,141.8,0,1,Sin alertas,121.3,125.5
2020-04-01,30.2,44.0,62.8,147.8,0,1,Sin alertas,141.8,121.3
2020-05-01,26.9,48.7,26.9,117.1,0,1,Sin alertas,147.8,141.8
2020-06-01,39.9,44.5,32.0,118.1,0,1,Sin alertas,117.1,147.8
2020-07-01,36.7,32.6,48.2,114.3,0,2,Alerta: Humedad baja,118.1,117.1
2020-08-01,38.1,30.8,65.4,128.5,0,2,Alerta: Humedad baja,114.3,118.1
2020-09-01,29.3,43.6,31.3,131.5,0,1,Sin alertas,128.5,114.3
2020-10-01,31.5,43.2,41.5,134.7,0,1,Sin alertas,131.5,128.5
2020-11-01,25.0,53.8,30.1,139.5,0,0,Sin alertas,134.7,131.5
2020-12-01,20.5,51.0,3.7,123.5,0,0,Sin alertas,139.5,134.7
2021-01-01,22.5,55.5,26.4,123.3,0,0,Sin alertas,123.5,139.5
2021-02-01,21.9,53.9,13.5,129.1,0,0,Sin alertas,123.3,123.5
2021-03-01,27.4,47.3,55.1,139.2,0,1,Sin alertas,129.1,123.3
2021-04-01,32.5,42.1,47.9,142.3,0,1,Sin alertas,139.2,129.1
2021-05-01,22.6,44.4,48.7,142.7,0,1,Sin alertas,142.3,139.2
2021-06-01,38.7,32.0,61.7,125.3,0,2,Alerta: Humedad baja,142.7,142.3
2021-07-01,40.3,36.3,66.8,126.6,0,2,Alerta: Humedad baja,125.3,142.7
2021-08-01,37.0,32.8,67.9,129.4,0,2,Alerta: Humedad baja,126.6,125.3
2021-09-01,30.9,64.5,53.1,144.4,1,1,"Alerta: Demasiada humedad, riesgo de enfermedades",129.4,126.6
2021-10-01,33.6,47.1,9.4,100.8,0,1,Sin alertas,144.4,129.4
2021-11-01,24.4,47.5,40.3,152.1,0,1,Sin alertas,100.8,144.4
2021-12-01,22.7,58.9,28.3,121.5,0,0,Sin alertas,152.1,100.8
2022-01-01,22.5,63.9,5.2,137.2,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",121.5,152.1
2022-02-01,22.7,57.9,26.3,155.7,0,0,Sin alertas,137.2,121.5
2022-03-01,30.5,51.7,33.1,122.3,0,1,Sin alertas,155.7,137.2
2022-04-01,32.5,44.0,41.1,123.8,0,1,Sin alertas,122.3,155.7
2022-05-01,31.4,52.3,55.6,137.7,0,1,Sin alertas,123.8,122.3
2022-06-01,37.5,30.1,51.1,123.7,0,2,Alerta: Humedad baja,137.7,123.8
2022-07-01,39.5,30.4,77.4,145.1,0,2,Alerta: Humedad baja,123.7,137.7
2022-08-01,38.8,44.4,44.5,112.4,0,1,Sin alertas,145.1,123.7
2022-09-01,24.7,60.5,49.8,150.0,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",112.4,145.1
2022-10-01,30.8,42.1,76.7,151.1,0,1,Sin alertas,150.0,112.4
2022-11-01,30.3,55.1,47.2,141.3,0,1,Sin alertas,151.1,150.0
2022-12-01,20.4,62.4,38.8,160.8,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",141.3,151.1
2023-01-01,25.2,57.4,10.1,123.5,0,1,Sin alertas,160.8,141.3
2023-02-01,22.1,65.5,3.1,140.3,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",123.5,160.8
2023-03-01,29.5,47.0,24.8,109.7,0,1,Sin alertas,140.3,123.5
2023-04-01,32.5,50.5,20.7,108.3,0,1,Sin alertas,109.7,140.3
2023-05-01,29.0,61.7,36.1,125.7,0,1,"Alerta: Demasiada humedad, riesgo de enfermedades",108.3,109.7
2023-06-01,37.5,33.6,6.1,95.0,0,2,Alerta: Humedad baja,125.7,108.3
2023-07-01,37.5,38.5,97.0,161.5,0,2,Alerta: Humedad baja,95.0,125.7
2023-08-01,37.5,29.5,111.5,157.1,0,2,Alerta: Humedad baja,161.5,95.0
2023-09-01,30.0,49.8,43.0,133.5,0,1,Sin alertas,157.1,161.5
2023-10-01,28.3,46.2,39.5,128.5,0,1,Sin alertas,133.5,157.1
2023-11-01,27.9,50.7,36.2,145.6,0,1,Sin alertas,128.5,133.5
2023-12-01,16.7,65.5,32.5,135.6,0,0,"Alerta: Temperatura baja, riesgo de heladas",145.6,128.5
2024-01-01,21.3,58.1,5.9,120.8,0,0,Sin alertas,135.6,145.6
2024-02-01,19.8,68.8,29.4,158.5,0,0,"Alerta: Temperatura baja, riesgo de heladas",120.8,135.6
2024-03-01,32.2,42.1,32.1,125.6,0,1,Sin alertas,158.5,120.8
2024-04-01,26.3,55.0,36.4,134.8,0,1,Sin alertas,125.6,158.5
2024-05-01,32.1,53.1,34.6,138.1,0,1,Sin alertas,134.8,125.6
2024-06-01,35.8,38.1,71.9,136.8,0,2,Alerta: Humedad baja,138.1,134.8
2024-07-01,38.7,28.7,78.5,133.5,0,2,Alerta: Humedad baja,136.8,138.1
2024-08-01,37.0,40.2,45.9,112.0,0,1,Sin alertas,133.5,136.8
2024-09-01,25.3,54.2,20.8,143.3,0,1,Sin alertas,112.0,133.5
2024-10-01,23.8,61.9,43.2,147.5,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",143.3,112.0
2024-11-01,28.4,52.8,39.4,144.8,0,1,Sin alertas,147.5,143.3
2024-12-01,22.2,60.8,16.4,133.1,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",144.8,147.5
2025-01-01,22.6,51.4,6.5,128.4,0,0,Sin alertas,133.1,144.8
2025-02-01,22.3,59.1,20.2,137.7,0,0,Sin alertas,128.4,133.1
2025-03-01,28.4,44.6,42.9,126.1,0,1,Sin alertas,137.7,128.4
2025-04-01,31.2,38.1,55.4,138.6,0,2,Alerta: Humedad baja,126.1,137.7
2025-05-01,30.8,56.9,65.0,158.6,1,1,Sin alertas,138.6,126.1
2025-06-01,34.3,28.6,47.5,121.8,0,2,Alerta: Humedad baja,158.6,138.6
2025-07-01,39.0,31.4,63.7,121.1,0,2,Alerta: Humedad baja,121.8,158.6
2025-08-01,36.8,28.0,41.5,103.9,0,2,Alerta: Humedad baja,121.1,121.8
2025-09-01,27.1,57.4,25.8,152.7,0,1,Sin alertas,103.9,121.1
2025-10-01,31.5,51.3,27.1,129.7,0,1,Sin alertas,152.7,103.9
2025-11-01,28.3,50.9,78.4,157.8,0,1,Sin alertas,129.7,152.7
2025-12-01,24.3,56.5,19.7,145.1,0,0,Sin alertas,157.8,129.7
2026-01-01,20.7,69.1,27.1,141.5,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",145.1,157.8
2026-02-01,23.3,64.9,26.2,127.6,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",141.5,145.1
2026-03-01,27.8,48.3,38.9,139.1,0,1,Sin alertas,127.6,141.5
2026-04-01,30.5,40.7,45.7,136.1,0,1,Sin alertas,139.1,127.6
2026-05-01,31.7,57.6,52.5,145.9,0,1,Sin alertas,136.1,139.1
2026-06-01,37.9,26.7,68.6,130.7,0,2,Alerta: Humedad baja,145.9,136.1
2026-07-01,38.5,28.6,38.4,119.6,0,2,Alerta: Humedad baja,130.7,145.9
2026-08-01,37.9,38.4,60.6,130.3,0,2,Alerta: Humedad baja,119.6,130.7
2026-09-01,32.8,46.4,41.4,125.0,0,1,Sin alertas,130.3,119.6
2026-10-01,28.7,47.8,43.3,131.6,0,1,Sin alertas,125.0,130.3
2026-11-01,33.8,43.7,37.2,120.1,0,1,Sin alertas,131.6,125.0
2026-12-01,24.9,61.0,30.3,126.9,0,0,"Alerta: Demasiada humedad, riesgo de enfermedades",120.1,131.6
